2023-08-04 21:37:26,005 - ALEXANDERBAAI - INFO - TCN model training started at ALEXANDERBAAI
2023-08-04 21:37:26,230 - ALEXANDERBAAI - INFO - tcnTrain :TCN Model on split 1/47 at ALEXANDERBAAI station forecasting 3 hours ahead.
2023-08-04 21:37:37,138 - ALEXANDERBAAI - INFO - tcnTrain : TCN training done on split 1/47 at ALEXANDERBAAI station forecasting 3 hours ahead.
2023-08-04 21:37:37,140 - ALEXANDERBAAI - INFO - tcnTrain : TCN training finished at ALEXANDERBAAI
2023-08-04 21:56:02,438 - ALEXANDERBAAI - INFO - TCN model training started at ALEXANDERBAAI
2023-08-04 21:56:02,612 - ALEXANDERBAAI - INFO - tcnTrain :TCN Model on split 1/1 at ALEXANDERBAAI station forecasting 3 hours ahead.
2023-08-04 21:56:10,666 - ALEXANDERBAAI - INFO - tcnTrain : TCN training done on split 1/47 at ALEXANDERBAAI station forecasting 3 hours ahead.
2023-08-04 21:56:10,668 - ALEXANDERBAAI - INFO - tcnTrain : TCN training finished at ALEXANDERBAAI
2023-08-04 22:08:42,504 - ALEXANDERBAAI - INFO - TCN model training started at ALEXANDERBAAI
2023-08-04 22:08:42,737 - ALEXANDERBAAI - INFO - tcnTrain :TCN Model on split 1/1 at ALEXANDERBAAI station forecasting 3 hours ahead.
2023-08-04 22:08:52,838 - ALEXANDERBAAI - INFO - tcnTrain : TCN training done on split 1/1 at ALEXANDERBAAI station forecasting 3 hours ahead.
2023-08-04 22:08:52,841 - ALEXANDERBAAI - INFO - tcnTrain : TCN training finished at ALEXANDERBAAI
2023-08-04 22:19:35,799 - ALEXANDERBAAI - INFO - TCN model training started at ALEXANDERBAAI
2023-08-04 22:19:35,959 - ALEXANDERBAAI - INFO - tcnTrain :TCN Model on split 1/1 at ALEXANDERBAAI station forecasting 3 hours ahead.
2023-08-04 22:19:42,978 - ALEXANDERBAAI - INFO - tcnTrain : TCN training done on split 1/1 at ALEXANDERBAAI station forecasting 3 hours ahead.
2023-08-04 22:19:42,980 - ALEXANDERBAAI - INFO - tcnTrain : TCN training finished at ALEXANDERBAAI
2023-08-04 22:39:38,926 - ALEXANDERBAAI - INFO - TCN model training started at ALEXANDERBAAI
2023-08-04 22:39:39,107 - ALEXANDERBAAI - INFO - tcnTrain :TCN Model on split 1/1 at ALEXANDERBAAI station forecasting 3 hours ahead.
2023-08-04 22:39:51,984 - ALEXANDERBAAI - INFO - Saving the actual vs predicted comparison to a CSV file.
2023-08-04 22:39:58,991 - ALEXANDERBAAI - INFO - Date 2010-01-02 11:00:00 Index 35 - Actual: 0.5826086956521739, Predicted: -0.5406566858291626
2023-08-04 22:39:59,157 - ALEXANDERBAAI - INFO - Date 2010-01-02 12:00:00 Index 36 - Actual: 0.4956521739130435, Predicted: -0.6233119368553162
2023-08-04 22:39:59,323 - ALEXANDERBAAI - INFO - Date 2010-01-02 13:00:00 Index 37 - Actual: 0.4347826086956521, Predicted: 0.43723365664482117
2023-08-04 22:39:59,477 - ALEXANDERBAAI - INFO - Date 2010-01-02 14:00:00 Index 38 - Actual: 0.4086956521739129, Predicted: -0.7535776495933533
2023-08-04 22:39:59,618 - ALEXANDERBAAI - INFO - Date 2010-01-02 15:00:00 Index 39 - Actual: 0.7217391304347827, Predicted: -0.04414380341768265
2023-08-04 22:39:59,771 - ALEXANDERBAAI - INFO - Date 2010-01-02 16:00:00 Index 40 - Actual: 0.7043478260869567, Predicted: 0.5672740936279297
2023-08-04 22:39:59,938 - ALEXANDERBAAI - INFO - Date 2010-01-02 17:00:00 Index 41 - Actual: 0.6695652173913043, Predicted: -0.45358070731163025
2023-08-04 22:40:00,104 - ALEXANDERBAAI - INFO - Date 2010-01-02 18:00:00 Index 42 - Actual: 0.08695652173913038, Predicted: -0.7372746467590332
2023-08-04 22:40:00,282 - ALEXANDERBAAI - INFO - Date 2010-01-02 19:00:00 Index 43 - Actual: 0.09565217391304337, Predicted: 0.45039552450180054
2023-08-04 22:40:00,490 - ALEXANDERBAAI - INFO - Date 2010-01-02 20:00:00 Index 44 - Actual: 0.07826086956521738, Predicted: -0.9419124126434326
2023-08-04 22:40:00,707 - ALEXANDERBAAI - INFO - Date 2010-01-02 21:00:00 Index 45 - Actual: 0.40000000000000013, Predicted: -0.6561453938484192
2023-08-04 22:40:00,914 - ALEXANDERBAAI - INFO - Date 2010-01-02 22:00:00 Index 46 - Actual: 0.40000000000000013, Predicted: 0.4110288619995117
2023-08-04 22:40:01,100 - ALEXANDERBAAI - INFO - Date 2010-01-02 23:00:00 Index 47 - Actual: 0.4173913043478261, Predicted: -0.7665325403213501
2023-08-04 22:40:01,249 - ALEXANDERBAAI - INFO - Date 2010-01-03 00:00:00 Index 48 - Actual: 0.3913043478260869, Predicted: -0.7495720386505127
