2023-08-04 21:37:16,951 - ADDO ELEPHANT PARK - INFO - TCN model training started at ADDO ELEPHANT PARK
2023-08-04 21:37:17,149 - ADDO ELEPHANT PARK - INFO - tcnTrain :TCN Model on split 1/47 at ADDO ELEPHANT PARK station forecasting 3 hours ahead.
2023-08-04 21:37:25,993 - ADDO ELEPHANT PARK - INFO - tcnTrain : TCN training done on split 1/47 at ADDO ELEPHANT PARK station forecasting 3 hours ahead.
2023-08-04 21:37:25,994 - ADDO ELEPHANT PARK - INFO - tcnTrain : TCN training finished at ADDO ELEPHANT PARK
2023-08-04 21:55:51,417 - ADDO ELEPHANT PARK - INFO - TCN model training started at ADDO ELEPHANT PARK
2023-08-04 21:55:51,637 - ADDO ELEPHANT PARK - INFO - tcnTrain :TCN Model on split 1/1 at ADDO ELEPHANT PARK station forecasting 3 hours ahead.
2023-08-04 21:56:02,425 - ADDO ELEPHANT PARK - INFO - tcnTrain : TCN training done on split 1/47 at ADDO ELEPHANT PARK station forecasting 3 hours ahead.
2023-08-04 21:56:02,426 - ADDO ELEPHANT PARK - INFO - tcnTrain : TCN training finished at ADDO ELEPHANT PARK
2023-08-04 22:08:33,753 - ADDO ELEPHANT PARK - INFO - TCN model training started at ADDO ELEPHANT PARK
2023-08-04 22:08:33,952 - ADDO ELEPHANT PARK - INFO - tcnTrain :TCN Model on split 1/1 at ADDO ELEPHANT PARK station forecasting 3 hours ahead.
2023-08-04 22:08:42,482 - ADDO ELEPHANT PARK - INFO - tcnTrain : TCN training done on split 1/1 at ADDO ELEPHANT PARK station forecasting 3 hours ahead.
2023-08-04 22:08:42,485 - ADDO ELEPHANT PARK - INFO - tcnTrain : TCN training finished at ADDO ELEPHANT PARK
2023-08-04 22:10:22,746 - ADDO ELEPHANT PARK - INFO - TCN model training started at ADDO ELEPHANT PARK
2023-08-04 22:10:22,907 - ADDO ELEPHANT PARK - INFO - tcnTrain :TCN Model on split 1/1 at ADDO ELEPHANT PARK station forecasting 3 hours ahead.
2023-08-04 22:10:31,403 - ADDO ELEPHANT PARK - INFO - Saving the actual vs predicted comparison to a CSV file.
2023-08-04 22:13:38,970 - ADDO ELEPHANT PARK - INFO - TCN model training started at ADDO ELEPHANT PARK
2023-08-04 22:13:39,218 - ADDO ELEPHANT PARK - INFO - tcnTrain :TCN Model on split 1/1 at ADDO ELEPHANT PARK station forecasting 3 hours ahead.
2023-08-04 22:13:49,134 - ADDO ELEPHANT PARK - INFO - Saving the actual vs predicted comparison to a CSV file.
2023-08-04 22:13:56,535 - ADDO ELEPHANT PARK - INFO - Date 2010-01-03 07:00:00 Index 55 - Actual: 0.1337792642140468, Predicted: -0.6541115045547485
2023-08-04 22:13:56,643 - ADDO ELEPHANT PARK - INFO - Date 2010-01-03 08:00:00 Index 56 - Actual: 0.23076923076923067, Predicted: -3.9155113697052
2023-08-04 22:13:56,754 - ADDO ELEPHANT PARK - INFO - Date 2010-01-03 09:00:00 Index 57 - Actual: 0.38461538461538464, Predicted: -1.5599092245101929
2023-08-04 22:13:56,865 - ADDO ELEPHANT PARK - INFO - Date 2010-01-03 10:00:00 Index 58 - Actual: 0.3110367892976588, Predicted: -0.6045750379562378
2023-08-04 22:13:56,976 - ADDO ELEPHANT PARK - INFO - Date 2010-01-03 11:00:00 Index 59 - Actual: 0.2709030100334448, Predicted: -4.685166358947754
2023-08-04 22:13:57,091 - ADDO ELEPHANT PARK - INFO - Date 2010-01-03 12:00:00 Index 60 - Actual: 0.4816053511705685, Predicted: -1.5982043743133545
2023-08-04 22:13:57,206 - ADDO ELEPHANT PARK - INFO - Date 2010-01-03 13:00:00 Index 61 - Actual: 0.5752508361204014, Predicted: -0.41460052132606506
2023-08-04 22:13:57,321 - ADDO ELEPHANT PARK - INFO - Date 2010-01-03 14:00:00 Index 62 - Actual: 0.6622073578595318, Predicted: -3.9383461475372314
2023-08-04 22:13:57,435 - ADDO ELEPHANT PARK - INFO - Date 2010-01-03 15:00:00 Index 63 - Actual: 0.06354515050167225, Predicted: -1.4383536577224731
2023-08-04 22:13:57,554 - ADDO ELEPHANT PARK - INFO - Date 2010-01-03 16:00:00 Index 64 - Actual: 0.043478260869565244, Predicted: -0.8738318085670471
2023-08-04 22:13:57,671 - ADDO ELEPHANT PARK - INFO - Date 2010-01-03 17:00:00 Index 65 - Actual: 0.15719063545150497, Predicted: -4.321510314941406
2023-08-04 22:13:57,782 - ADDO ELEPHANT PARK - INFO - Date 2010-01-03 18:00:00 Index 66 - Actual: 0.374581939799331, Predicted: -1.4551069736480713
2023-08-04 22:13:57,899 - ADDO ELEPHANT PARK - INFO - Date 2010-01-03 19:00:00 Index 67 - Actual: 0.33110367892976583, Predicted: -0.4901770055294037
2023-08-04 22:13:58,015 - ADDO ELEPHANT PARK - INFO - Date 2010-01-03 20:00:00 Index 68 - Actual: 0.31438127090301, Predicted: -3.730574131011963
