2023-08-04 21:37:37,150 - ALIWAL-NORTH PLAATKOP - INFO - TCN model training started at ALIWAL-NORTH PLAATKOP
2023-08-04 21:37:37,406 - ALIWAL-NORTH PLAATKOP - INFO - tcnTrain :TCN Model on split 1/47 at ALIWAL-NORTH PLAATKOP station forecasting 3 hours ahead.
2023-08-04 21:37:52,167 - ALIWAL-NORTH PLAATKOP - INFO - tcnTrain : TCN training done on split 1/47 at ALIWAL-NORTH PLAATKOP station forecasting 3 hours ahead.
2023-08-04 21:37:52,169 - ALIWAL-NORTH PLAATKOP - INFO - tcnTrain : TCN training finished at ALIWAL-NORTH PLAATKOP
2023-08-04 21:56:10,680 - ALIWAL-NORTH PLAATKOP - INFO - TCN model training started at ALIWAL-NORTH PLAATKOP
2023-08-04 21:56:10,976 - ALIWAL-NORTH PLAATKOP - INFO - tcnTrain :TCN Model on split 1/1 at ALIWAL-NORTH PLAATKOP station forecasting 3 hours ahead.
2023-08-04 21:56:23,898 - ALIWAL-NORTH PLAATKOP - INFO - tcnTrain : TCN training done on split 1/47 at ALIWAL-NORTH PLAATKOP station forecasting 3 hours ahead.
2023-08-04 21:56:23,900 - ALIWAL-NORTH PLAATKOP - INFO - tcnTrain : TCN training finished at ALIWAL-NORTH PLAATKOP
2023-08-04 22:08:52,851 - ALIWAL-NORTH PLAATKOP - INFO - TCN model training started at ALIWAL-NORTH PLAATKOP
2023-08-04 22:08:53,073 - ALIWAL-NORTH PLAATKOP - INFO - tcnTrain :TCN Model on split 1/1 at ALIWAL-NORTH PLAATKOP station forecasting 3 hours ahead.
2023-08-04 22:09:04,610 - ALIWAL-NORTH PLAATKOP - INFO - tcnTrain : TCN training done on split 1/1 at ALIWAL-NORTH PLAATKOP station forecasting 3 hours ahead.
2023-08-04 22:09:04,613 - ALIWAL-NORTH PLAATKOP - INFO - tcnTrain : TCN training finished at ALIWAL-NORTH PLAATKOP
2023-08-04 22:19:42,986 - ALIWAL-NORTH PLAATKOP - INFO - TCN model training started at ALIWAL-NORTH PLAATKOP
2023-08-04 22:19:43,180 - ALIWAL-NORTH PLAATKOP - INFO - tcnTrain :TCN Model on split 1/1 at ALIWAL-NORTH PLAATKOP station forecasting 3 hours ahead.
2023-08-04 22:19:53,154 - ALIWAL-NORTH PLAATKOP - INFO - tcnTrain : TCN training done on split 1/1 at ALIWAL-NORTH PLAATKOP station forecasting 3 hours ahead.
2023-08-04 22:19:53,158 - ALIWAL-NORTH PLAATKOP - INFO - tcnTrain : TCN training finished at ALIWAL-NORTH PLAATKOP
2023-08-04 22:40:59,345 - ALIWAL-NORTH PLAATKOP - INFO - TCN model training started at ALIWAL-NORTH PLAATKOP
2023-08-04 22:40:59,557 - ALIWAL-NORTH PLAATKOP - INFO - tcnTrain :TCN Model on split 1/1 at ALIWAL-NORTH PLAATKOP station forecasting 3 hours ahead.
2023-08-04 22:44:47,881 - ALIWAL-NORTH PLAATKOP - INFO - TCN model training started at ALIWAL-NORTH PLAATKOP
2023-08-04 22:44:48,076 - ALIWAL-NORTH PLAATKOP - INFO - tcnTrain :TCN Model on split 1/1 at ALIWAL-NORTH PLAATKOP station forecasting 3 hours ahead.
2023-08-04 22:45:01,105 - ALIWAL-NORTH PLAATKOP - INFO - Saving the actual vs predicted comparison to a CSV file.
2023-08-04 22:45:08,142 - ALIWAL-NORTH PLAATKOP - INFO - Date 2010-01-02 17:00:00 Index 41 - Actual: 0.5442477876106195, Predicted: -0.5214943289756775
2023-08-04 22:45:08,345 - ALIWAL-NORTH PLAATKOP - INFO - Date 2010-01-02 18:00:00 Index 42 - Actual: 0.05752212389380529, Predicted: 2.9470624923706055
2023-08-04 22:45:08,534 - ALIWAL-NORTH PLAATKOP - INFO - Date 2010-01-02 19:00:00 Index 43 - Actual: 0.0663716814159292, Predicted: -0.8962295651435852
2023-08-04 22:45:08,740 - ALIWAL-NORTH PLAATKOP - INFO - Date 2010-01-02 20:00:00 Index 44 - Actual: 0.17256637168141598, Predicted: 0.34599584341049194
2023-08-04 22:45:08,934 - ALIWAL-NORTH PLAATKOP - INFO - Date 2010-01-02 21:00:00 Index 45 - Actual: 0.23893805309734517, Predicted: 3.0677545070648193
2023-08-04 22:45:09,145 - ALIWAL-NORTH PLAATKOP - INFO - Date 2010-01-02 22:00:00 Index 46 - Actual: 0.20353982300884954, Predicted: -0.42599788308143616
2023-08-04 22:45:09,355 - ALIWAL-NORTH PLAATKOP - INFO - Date 2010-01-02 23:00:00 Index 47 - Actual: 0.243362831858407, Predicted: 0.2086966633796692
2023-08-04 22:45:09,556 - ALIWAL-NORTH PLAATKOP - INFO - Date 2010-01-03 00:00:00 Index 48 - Actual: 0.23893805309734517, Predicted: 2.8515536785125732
2023-08-04 22:45:09,719 - ALIWAL-NORTH PLAATKOP - INFO - Date 2010-01-03 01:00:00 Index 49 - Actual: 0.42920353982300896, Predicted: -0.4243108332157135
2023-08-04 22:45:09,881 - ALIWAL-NORTH PLAATKOP - INFO - Date 2010-01-03 02:00:00 Index 50 - Actual: 0.5132743362831858, Predicted: 0.43527230620384216
2023-08-04 22:45:10,065 - ALIWAL-NORTH PLAATKOP - INFO - Date 2010-01-03 03:00:00 Index 51 - Actual: 0.6327433628318584, Predicted: 2.9869439601898193
2023-08-04 22:45:10,270 - ALIWAL-NORTH PLAATKOP - INFO - Date 2010-01-03 04:00:00 Index 52 - Actual: 0.5752212389380531, Predicted: -1.476192831993103
2023-08-04 22:45:10,455 - ALIWAL-NORTH PLAATKOP - INFO - Date 2010-01-03 05:00:00 Index 53 - Actual: 0.44690265486725667, Predicted: -0.6014536619186401
2023-08-04 22:45:10,641 - ALIWAL-NORTH PLAATKOP - INFO - Date 2010-01-03 06:00:00 Index 54 - Actual: 0.2831858407079647, Predicted: 2.794266939163208
2023-08-04 22:45:10,814 - ALIWAL-NORTH PLAATKOP - INFO - Date 2010-01-03 07:00:00 Index 55 - Actual: 0.38938053097345127, Predicted: -0.8952652215957642
2023-08-04 22:45:10,998 - ALIWAL-NORTH PLAATKOP - INFO - Date 2010-01-03 08:00:00 Index 56 - Actual: 0.49557522123893816, Predicted: 0.12259207665920258
2023-08-04 22:45:11,145 - ALIWAL-NORTH PLAATKOP - INFO - Date 2010-01-03 09:00:00 Index 57 - Actual: 0.6592920353982301, Predicted: 2.8341224193573
2023-08-04 22:45:11,320 - ALIWAL-NORTH PLAATKOP - INFO - Date 2010-01-03 10:00:00 Index 58 - Actual: 0.7079646017699115, Predicted: -1.3541420698165894
2023-08-04 22:45:11,485 - ALIWAL-NORTH PLAATKOP - INFO - Date 2010-01-03 11:00:00 Index 59 - Actual: 0.7256637168141593, Predicted: -0.4131818413734436
2023-08-04 22:45:11,653 - ALIWAL-NORTH PLAATKOP - INFO - Date 2010-01-03 12:00:00 Index 60 - Actual: 0.32743362831858414, Predicted: 2.868878126144409
2023-08-04 22:45:11,837 - ALIWAL-NORTH PLAATKOP - INFO - Date 2010-01-03 13:00:00 Index 61 - Actual: 0.5, Predicted: -0.8594743013381958
2023-08-04 22:45:12,030 - ALIWAL-NORTH PLAATKOP - INFO - Date 2010-01-03 14:00:00 Index 62 - Actual: 0.5, Predicted: 0.3999200761318207
2023-08-04 22:45:12,183 - ALIWAL-NORTH PLAATKOP - INFO - Date 2010-01-03 15:00:00 Index 63 - Actual: 0.16814159292035402, Predicted: 2.6669235229492188
2023-08-04 22:45:12,351 - ALIWAL-NORTH PLAATKOP - INFO - Date 2010-01-03 16:00:00 Index 64 - Actual: 0.16371681415929218, Predicted: -0.7458433508872986
2023-08-04 22:45:12,496 - ALIWAL-NORTH PLAATKOP - INFO - Date 2010-01-03 17:00:00 Index 65 - Actual: 0.16371681415929218, Predicted: 0.1383746713399887
2023-08-04 22:45:12,680 - ALIWAL-NORTH PLAATKOP - INFO - Date 2010-01-03 18:00:00 Index 66 - Actual: 0.15929203539823011, Predicted: 2.8244411945343018
2023-08-04 22:45:12,854 - ALIWAL-NORTH PLAATKOP - INFO - Date 2010-01-03 19:00:00 Index 67 - Actual: 0.18141592920353988, Predicted: -0.4385441243648529
2023-08-04 22:45:13,014 - ALIWAL-NORTH PLAATKOP - INFO - Date 2010-01-03 20:00:00 Index 68 - Actual: 0.28761061946902655, Predicted: 0.34450504183769226
2023-08-04 22:45:13,166 - ALIWAL-NORTH PLAATKOP - INFO - Date 2010-01-03 21:00:00 Index 69 - Actual: 0.6991150442477876, Predicted: 2.801952838897705
2023-08-04 22:45:13,334 - ALIWAL-NORTH PLAATKOP - INFO - Date 2010-01-03 22:00:00 Index 70 - Actual: 0.7212389380530972, Predicted: -1.5038604736328125
2023-08-04 22:45:13,511 - ALIWAL-NORTH PLAATKOP - INFO - Date 2010-01-03 23:00:00 Index 71 - Actual: 0.7566371681415929, Predicted: -0.34754496812820435
2023-08-04 22:45:13,692 - ALIWAL-NORTH PLAATKOP - INFO - Date 2010-01-04 00:00:00 Index 72 - Actual: 0.19469026548672574, Predicted: 2.5353872776031494
2023-08-04 22:45:13,886 - ALIWAL-NORTH PLAATKOP - INFO - Date 2010-01-04 01:00:00 Index 73 - Actual: 0.2743362831858408, Predicted: -0.6197717785835266
2023-08-04 22:45:14,066 - ALIWAL-NORTH PLAATKOP - INFO - Date 2010-01-04 02:00:00 Index 74 - Actual: 0.32743362831858414, Predicted: 0.45843538641929626
2023-08-04 22:45:14,223 - ALIWAL-NORTH PLAATKOP - INFO - Date 2010-01-04 03:00:00 Index 75 - Actual: 0.7831858407079646, Predicted: 3.028963088989258
2023-08-04 22:45:14,391 - ALIWAL-NORTH PLAATKOP - INFO - Date 2010-01-04 04:00:00 Index 76 - Actual: 0.8008849557522124, Predicted: -1.283920407295227
2023-08-04 22:45:14,541 - ALIWAL-NORTH PLAATKOP - INFO - Date 2010-01-04 05:00:00 Index 77 - Actual: 0.8141592920353984, Predicted: -0.7433386445045471
2023-08-04 22:45:14,695 - ALIWAL-NORTH PLAATKOP - INFO - Date 2010-01-04 06:00:00 Index 78 - Actual: 0.5752212389380531, Predicted: 2.819532632827759
2023-08-04 22:45:14,864 - ALIWAL-NORTH PLAATKOP - INFO - Date 2010-01-04 07:00:00 Index 79 - Actual: 0.6371681415929205, Predicted: -1.0435140132904053
2023-08-04 22:45:15,223 - ALIWAL-NORTH PLAATKOP - INFO - Date 2010-01-04 08:00:00 Index 80 - Actual: 0.7212389380530972, Predicted: -0.13071347773075104
2023-08-04 22:45:15,452 - ALIWAL-NORTH PLAATKOP - INFO - Date 2010-01-04 09:00:00 Index 81 - Actual: 0.5442477876106195, Predicted: 3.1371662616729736
2023-08-04 22:45:15,640 - ALIWAL-NORTH PLAATKOP - INFO - Date 2010-01-04 10:00:00 Index 82 - Actual: 0.41150442477876104, Predicted: -1.3154231309890747
2023-08-04 22:45:15,789 - ALIWAL-NORTH PLAATKOP - INFO - Date 2010-01-04 11:00:00 Index 83 - Actual: 0.30530973451327437, Predicted: -0.5705971121788025
2023-08-04 22:45:15,956 - ALIWAL-NORTH PLAATKOP - INFO - Date 2010-01-04 12:00:00 Index 84 - Actual: 0.5796460176991152, Predicted: 2.922414541244507
2023-08-04 22:45:16,083 - ALIWAL-NORTH PLAATKOP - INFO - Date 2010-01-04 13:00:00 Index 85 - Actual: 0.6504424778761062, Predicted: -1.018173336982727
2023-08-04 22:45:16,234 - ALIWAL-NORTH PLAATKOP - INFO - Date 2010-01-04 14:00:00 Index 86 - Actual: 0.6592920353982301, Predicted: -0.2865752875804901
