2023-08-05 12:00:08,155 - all_stations - INFO - Training GWN models through walk-forward validation on a forecasting horizon of: 24
2023-08-05 12:03:51,192 - all_stations - INFO - Date 2010-01-01 01:00:00 Index 81 - Actual: 0.1903323233127594, Predicted: 0.1711072325706482
2023-08-05 12:03:53,377 - all_stations - INFO - Date 2010-01-01 01:00:00 Index 82 - Actual: 0.20845921337604523, Predicted: 0.1339535117149353
2023-08-05 12:03:55,553 - all_stations - INFO - Date 2010-01-01 01:00:00 Index 83 - Actual: 0.24773414433002472, Predicted: 0.10365050286054611
2023-08-05 12:03:57,777 - all_stations - INFO - Date 2010-01-01 01:00:00 Index 84 - Actual: 0.3413897156715393, Predicted: 0.19055557250976562
2023-08-05 12:03:59,961 - all_stations - INFO - Date 2010-01-01 01:00:00 Index 85 - Actual: 0.41691842675209045, Predicted: 0.1648111194372177
2023-08-05 12:04:02,145 - all_stations - INFO - Date 2010-01-01 01:00:00 Index 86 - Actual: 0.40181270241737366, Predicted: 0.11104393005371094
2023-08-05 12:04:04,339 - all_stations - INFO - Date 2010-01-01 01:00:00 Index 87 - Actual: 0.43202418088912964, Predicted: 0.1549360156059265
2023-08-05 12:04:06,520 - all_stations - INFO - Date 2010-01-01 01:00:00 Index 88 - Actual: 0.47129908204078674, Predicted: 0.0463588647544384
2023-08-05 12:04:08,723 - all_stations - INFO - Date 2010-01-01 01:00:00 Index 89 - Actual: 0.4380664527416229, Predicted: 0.14807549118995667
2023-08-05 12:04:10,898 - all_stations - INFO - Date 2010-01-01 02:00:00 Index 90 - Actual: 0.4350453317165375, Predicted: 0.18398375809192657
2023-08-05 12:04:13,115 - all_stations - INFO - Date 2010-01-01 02:00:00 Index 91 - Actual: 0.39274924993515015, Predicted: 0.062279485166072845
2023-08-05 12:04:15,331 - all_stations - INFO - Date 2010-01-01 02:00:00 Index 92 - Actual: 0.22054380178451538, Predicted: 0.057928308844566345
2023-08-05 12:04:17,563 - all_stations - INFO - Date 2010-01-01 02:00:00 Index 93 - Actual: 0.1661631464958191, Predicted: 0.18905138969421387
2023-08-05 12:04:19,757 - all_stations - INFO - Date 2010-01-01 02:00:00 Index 94 - Actual: 0.1993957757949829, Predicted: 0.10369706898927689
2023-08-05 12:04:21,946 - all_stations - INFO - Date 2010-01-01 02:00:00 Index 95 - Actual: 0.19637462496757507, Predicted: 0.08201096951961517
2023-08-05 12:04:24,127 - all_stations - INFO - Date 2010-01-01 02:00:00 Index 96 - Actual: 0.8157099485397339, Predicted: 0.15967373549938202
2023-08-05 12:04:26,300 - all_stations - INFO - Date 2010-01-01 02:00:00 Index 97 - Actual: 0.7341389656066895, Predicted: 0.11499814689159393
2023-08-05 12:04:28,500 - all_stations - INFO - Date 2010-01-01 02:00:00 Index 98 - Actual: 0.616314172744751, Predicted: 0.10609875619411469
2023-08-05 12:04:30,675 - all_stations - INFO - Date 2010-01-01 02:00:00 Index 99 - Actual: 0.5830815434455872, Predicted: 0.19218827784061432
2023-08-05 12:04:32,889 - all_stations - INFO - Date 2010-01-01 02:00:00 Index 100 - Actual: 0.5498489141464233, Predicted: 0.1214701309800148
2023-08-05 12:04:35,059 - all_stations - INFO - Date 2010-01-01 02:00:00 Index 101 - Actual: 0.5619335174560547, Predicted: 0.10135918110609055
2023-08-05 12:04:37,234 - all_stations - INFO - Date 2010-01-01 02:00:00 Index 102 - Actual: 0.4380664527416229, Predicted: 0.18357615172863007
2023-08-05 12:04:39,431 - all_stations - INFO - Date 2010-01-01 02:00:00 Index 103 - Actual: 0.4199395775794983, Predicted: 0.20260272920131683
2023-08-05 12:04:41,653 - all_stations - INFO - Date 2010-01-01 02:00:00 Index 104 - Actual: 0.40785497426986694, Predicted: 0.07073934376239777
2023-08-05 12:04:43,826 - all_stations - INFO - Date 2010-01-01 02:00:00 Index 105 - Actual: 0.3897280991077423, Predicted: 0.18672296404838562
2023-08-05 12:04:45,997 - all_stations - INFO - Date 2010-01-01 02:00:00 Index 106 - Actual: 0.4290030300617218, Predicted: 0.1343405544757843
2023-08-05 12:04:48,265 - all_stations - INFO - Date 2010-01-01 02:00:00 Index 107 - Actual: 0.4592145085334778, Predicted: 0.09035363048315048
2023-08-05 12:04:50,483 - all_stations - INFO - Date 2010-01-01 02:00:00 Index 108 - Actual: 0.49546828866004944, Predicted: 0.18504145741462708
2023-08-05 12:04:52,661 - all_stations - INFO - Date 2010-01-01 02:00:00 Index 109 - Actual: 0.5105740427970886, Predicted: 0.1916373372077942
2023-08-05 12:04:54,855 - all_stations - INFO - Date 2010-01-01 02:00:00 Index 110 - Actual: 0.5679758191108704, Predicted: 0.11355478316545486
2023-08-05 12:04:57,035 - all_stations - INFO - Date 2010-01-01 02:00:00 Index 111 - Actual: 0.6042296290397644, Predicted: 0.17320625483989716
2023-08-05 12:04:59,227 - all_stations - INFO - Date 2010-01-01 02:00:00 Index 112 - Actual: 0.5891238451004028, Predicted: 0.07423437386751175
2023-08-05 12:05:01,406 - all_stations - INFO - Date 2010-01-01 02:00:00 Index 113 - Actual: 0.6012084484100342, Predicted: 0.1536259651184082
2023-08-05 12:05:03,602 - all_stations - INFO - Date 2010-01-01 02:00:00 Index 114 - Actual: 0.5830815434455872, Predicted: 0.19611568748950958
2023-08-05 12:05:05,781 - all_stations - INFO - Date 2010-01-01 02:00:00 Index 115 - Actual: 0.5649546980857849, Predicted: 0.10638323426246643
2023-08-05 12:05:07,964 - all_stations - INFO - Date 2010-01-01 02:00:00 Index 116 - Actual: 0.5589123964309692, Predicted: 0.049879420548677444
2023-08-05 12:05:10,189 - all_stations - INFO - Date 2010-01-01 02:00:00 Index 117 - Actual: 0.5951661467552185, Predicted: 0.22338297963142395
2023-08-05 12:05:12,384 - all_stations - INFO - Date 2010-01-01 02:00:00 Index 118 - Actual: 0.5770393013954163, Predicted: 0.11749806255102158
