2023-08-12 23:44:24,206 - BARKLY-OOS (CAERLEON) - INFO - TCN model training started at BARKLY-OOS (CAERLEON)
2023-08-12 23:44:24,396 - BARKLY-OOS (CAERLEON) - INFO - TCN Model on split 1/3 at BARKLY-OOS (CAERLEON) station forecasting 3 hours ahead.
2023-08-12 23:44:41,068 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-03 02:00:00 Index 50 - Actual: 0.6031746031746033, Predicted: 8.842554092407227
2023-08-12 23:44:41,189 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-03 03:00:00 Index 51 - Actual: 0.10582010582010587, Predicted: 0.3980455696582794
2023-08-12 23:44:41,303 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-03 04:00:00 Index 52 - Actual: 0.1111111111111111, Predicted: -1.3072805404663086
2023-08-12 23:44:41,415 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-03 05:00:00 Index 53 - Actual: 0.09523809523809529, Predicted: 8.696925163269043
2023-08-12 23:44:41,528 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-03 06:00:00 Index 54 - Actual: 0.253968253968254, Predicted: 0.5312666296958923
2023-08-12 23:44:41,641 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-03 07:00:00 Index 55 - Actual: 0.18518518518518517, Predicted: -0.9738814830780029
2023-08-12 23:44:41,756 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-03 08:00:00 Index 56 - Actual: 0.1375661375661375, Predicted: 8.669707298278809
2023-08-12 23:44:41,897 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-03 09:00:00 Index 57 - Actual: 0.7883597883597884, Predicted: 0.373352974653244
2023-08-12 23:44:42,022 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-03 10:00:00 Index 58 - Actual: 0.962962962962963, Predicted: -1.8393614292144775
2023-08-12 23:44:42,159 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-03 11:00:00 Index 59 - Actual: 0.9523809523809526, Predicted: 9.575766563415527
2023-08-12 23:44:42,273 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-03 12:00:00 Index 60 - Actual: 0.1375661375661375, Predicted: -0.26949796080589294
2023-08-12 23:44:42,391 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-03 13:00:00 Index 61 - Actual: 0.2698412698412698, Predicted: -1.350221872329712
2023-08-12 23:44:42,506 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-03 14:00:00 Index 62 - Actual: 0.49206349206349215, Predicted: 8.361149787902832
2023-08-12 23:44:42,619 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-03 15:00:00 Index 63 - Actual: 0.18518518518518517, Predicted: 0.5098825097084045
2023-08-12 23:44:42,734 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-03 16:00:00 Index 64 - Actual: 0.1375661375661375, Predicted: -1.039322853088379
2023-08-12 23:44:42,855 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-03 17:00:00 Index 65 - Actual: 0.10582010582010587, Predicted: 8.682641983032227
2023-08-12 23:44:42,970 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-03 18:00:00 Index 66 - Actual: 0.31216931216931226, Predicted: -0.11506875604391098
2023-08-12 23:44:43,084 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-03 19:00:00 Index 67 - Actual: 0.30158730158730157, Predicted: -1.4507825374603271
2023-08-12 23:44:43,192 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-03 20:00:00 Index 68 - Actual: 0.2804232804232805, Predicted: 8.631093978881836
2023-08-12 23:44:43,300 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-03 21:00:00 Index 69 - Actual: 0.09523809523809529, Predicted: -0.006062709726393223
2023-08-12 23:44:43,410 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-03 22:00:00 Index 70 - Actual: 0.08994708994708994, Predicted: -1.1590595245361328
2023-08-12 23:44:43,518 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-03 23:00:00 Index 71 - Actual: 0.1375661375661375, Predicted: 8.391201972961426
2023-08-12 23:44:43,624 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-04 00:00:00 Index 72 - Actual: 0.30158730158730157, Predicted: 0.08427730947732925
2023-08-12 23:44:43,732 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-04 01:00:00 Index 73 - Actual: 0.2804232804232805, Predicted: -1.4057972431182861
2023-08-12 23:44:43,840 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-04 02:00:00 Index 74 - Actual: 0.24338624338624343, Predicted: 8.340575218200684
2023-08-12 23:44:43,957 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-04 03:00:00 Index 75 - Actual: 0.37566137566137564, Predicted: 0.7146348357200623
2023-08-12 23:44:44,064 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-04 04:00:00 Index 76 - Actual: 0.46560846560846564, Predicted: -2.1457250118255615
2023-08-12 23:44:44,172 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-04 05:00:00 Index 77 - Actual: 0.46560846560846564, Predicted: 9.142226219177246
2023-08-12 23:44:44,279 - BARKLY-OOS (CAERLEON) - INFO - Date 2010-01-04 06:00:00 Index 78 - Actual: 0.30158730158730157, Predicted: 0.6293101906776428
